品级,地区,年号
,湖南,嘉慶
5,山东,乾隆
,,嘉慶
5,浙江,
5,浙江,光绪
,山东、天津、北京,崇祯
,,
8,甘肃,乾隆
,北京,同治
,,
,山西,光绪
8,,乾隆
4,河北,乾隆
5,,乾隆
,山东、天津、北京,崇禎
6,河南,道光
,,
4,浙江,咸丰
3,四川、山西,成化
,,順治
,,乾隆
,,乾隆
4,安徽,光绪
1,,康熙
,湖北,
,,
1,,永乐
1,新疆,
5,云南,雍正
1,,
,,顺治
1,,光绪
,,顺治
,,雍正
,天津,雍正
9,,乾隆
6,,乾隆
,,道光
,,光绪
,,光绪
5,,泰昌
,河南、山东、浙江,天啓
4,山东、河北、北京,
,天津、北京,崇禎
,,嘉慶
,湖南、陕西、甘肃,
8,,乾隆
1,福建,
2,,正德
,福建,同治
,陕西,崇祯
1,新疆,光绪
1,,光绪
1,甘肃,光绪
1,北京,光绪
1,,天启
4,云南,
,,
7,河北,萬曆
8,,康熙
,,咸丰
7,,光绪
2,,
,,嘉慶
3,,顺治
4,,
3,,
4,浙江,咸丰
,甘肃,同治
1,河北,
4,辽宁,同治
3,,
,,光绪
,,同治
